first_name,last_name,birth_city,birth_country,native_language,birthday
Ram,Mitchelmore,Sijiqing,China,Belarusian,11/14/1997
Janine,Cawsey,Fengshou,China,Danish,12/21/2000
Lorette,Mackriell,Shapaja,Peru,Tok Pisin,2/1/2012
Tremain,Shermore,Jaguariaíva,Brazil,Dutch,4/20/2005
Moselle,Bousler,Nanzhao,China,Belarusian,11/16/2007
Orlando,Dumphy,Jitan,China,Spanish,1/27/2015
Jack,Featherstonhaugh,Chingas,Peru,Portuguese,5/10/2019
Amalee,Springate,Wailiang,Indonesia,Burmese,3/4/2004
Ker,Arden,Akune,Japan,Hebrew,1/11/2015
Glory,Kelcey,Fagatogo,American Samoa,Filipino,1/22/2013
Suzann,Cockarill,Nsanje,Malawi,Lao,7/19/2019
Lynette,De Malchar,Okpo,Nigeria,Croatian,1/26/1992
Sally,Titherington,Nanterre,France,Oriya,4/17/1997
Kerry,Bosse,Baganga,Philippines,Danish,3/2/2019
Carlyle,Henriques,Lanshan,China,Swahili,9/21/1992
Marilee,Pedro,Pingding,China,Mongolian,11/16/1997
Eustacia,Andreassen,Michałów,Poland,Māori,6/7/1995
Adham,Coales,Gaofeng,China,Persian,11/19/2020
Felice,Hurtado,Librazhd-Qendër,Albania,Belarusian,7/17/2012
Bryn,Heinke,McKinley,Philippines,Zulu,3/10/2015
Iris,Burlingham,Huillapima,Argentina,Portuguese,2/10/2012
Paula,Fayerbrother,Adtugan,Philippines,Kurdish,11/3/1992
Cassie,Mikalski,Samborondón,Ecuador,Bengali,5/22/1998
Nikki,Babe,Jianfeng,China,Moldovan,11/28/1995
Earlie,Sandiland,Öldziyt,Mongolia,Fijian,5/1/1997
Mylo,Rablen,Villa Dolores,Argentina,Thai,9/28/2016
Gualterio,Shrimplin,Salamina,Colombia,Northern Sotho,10/20/2005
Curtice,Hollingsbee,Pirca,Peru,Burmese,10/31/2013
Norby,Sturton,Zelenogradsk,Russia,Korean,3/26/1993
Johny,Otley,Cabaritan East,Philippines,Swahili,1/9/2011
Marice,Swindall,Dzhalilabad,Azerbaijan,Nepali,7/30/1993
Roi,Neljes,Yongning,China,New Zealand Sign Language,12/21/2013
Aeriela,Passler,Portela,Portugal,Khmer,7/17/2019
